Weekly Prices time series,,,,,,,,,
,,,,,,,,,
,,Pump price in pence/litre,,,Duty rate in pence/litre,,,VAT percentage rate,
Date,,ULSP,ULSD,,ULSP,ULSD,,ULSP,ULSD
,,,,,,,,,
21/03/2005,,82.70,87.06,,47.10,47.10,,17.50,17.50
28/03/2005,,83.40,87.68,,47.10,47.10,,17.50,17.50
04/04/2005,,83.91,88.30,,47.10,47.10,,17.50,17.50
11/04/2005,,85.61,89.82,,47.10,47.10,,17.50,17.50
18/04/2005,,85.63,89.80,,47.10,47.10,,17.50,17.50
25/04/2005,,85.51,89.62,,47.10,47.10,,17.50,17.50
02/05/2005,,85.44,89.30,,47.10,47.10,,17.50,17.50
09/05/2005,,85.36,89.46,,47.10,47.10,,17.50,17.50
16/05/2005,,85.27,89.40,,47.10,47.10,,17.50,17.50
23/05/2005,,84.77,89.00,,47.10,47.10,,17.50,17.50
30/05/2005,,84.18,88.39,,47.10,47.10,,17.50,17.50
06/06/2005,,84.01,88.23,,47.10,47.10,,17.50,17.50
13/06/2005,,84.99,88.96,,47.10,47.10,,17.50,17.50
20/06/2005,,85.52,89.54,,47.10,47.10,,17.50,17.50
27/06/2005,,86.73,90.27,,47.10,47.10,,17.50,17.50
04/07/2005,,87.49,91.00,,47.10,47.10,,17.50,17.50
11/07/2005,,87.73,91.89,,47.10,47.10,,17.50,17.50
18/07/2005,,88.55,92.67,,47.10,47.10,,17.50,17.50
25/07/2005,,89.00,93.03,,47.10,47.10,,17.50,17.50
01/08/2005,,89.25,93.26,,47.10,47.10,,17.50,17.50
08/08/2005,,89.67,93.63,,47.10,47.10,,17.50,17.50
15/08/2005,,90.56,94.50,,47.10,47.10,,17.50,17.50
22/08/2005,,90.77,94.68,,47.10,47.10,,17.50,17.50
29/08/2005,,91.42,95.33,,47.10,47.10,,17.50,17.50
05/09/2005,,94.37,97.19,,47.10,47.10,,17.50,17.50
12/09/2005,,95.07,97.89,,47.10,47.10,,17.50,17.50
19/09/2005,,94.41,97.32,,47.10,47.10,,17.50,17.50
26/09/2005,,93.33,96.27,,47.10,47.10,,17.50,17.50
03/10/2005,,93.51,96.61,,47.10,47.10,,17.50,17.50
10/10/2005,,94.25,97.05,,47.10,47.10,,17.50,17.50
17/10/2005,,94.14,97.00,,47.10,47.10,,17.50,17.50
24/10/2005,,93.47,96.80,,47.10,47.10,,17.50,17.50
31/10/2005,,92.79,96.57,,47.10,47.10,,17.50,17.50
07/11/2005,,92.47,96.59,,47.10,47.10,,17.50,17.50
14/11/2005,,90.53,94.92,,47.10,47.10,,17.50,17.50
21/11/2005,,88.61,93.22,,47.10,47.10,,17.50,17.50
28/11/2005,,87.35,91.80,,47.10,47.10,,17.50,17.50
05/12/2005,,87.35,91.80,,47.10,47.10,,17.50,17.50
12/12/2005,,87.20,91.48,,47.10,47.10,,17.50,17.50
19/12/2005,,87.56,91.83,,47.10,47.10,,17.50,17.50
26/12/2005,,87.88,92.12,,47.10,47.10,,17.50,17.50
02/01/2006,,88.03,92.27,,47.10,47.10,,17.50,17.50
09/01/2006,,88.56,92.94,,47.10,47.10,,17.50,17.50
16/01/2006,,89.01,93.19,,47.10,47.10,,17.50,17.50
23/01/2006,,89.55,93.62,,47.10,47.10,,17.50,17.50
30/01/2006,,89.88,93.93,,47.10,47.10,,17.50,17.50
06/02/2006,,89.73,93.85,,47.10,47.10,,17.50,17.50
13/02/2006,,89.65,93.77,,47.10,47.10,,17.50,17.50
20/02/2006,,89.60,93.75,,47.10,47.10,,17.50,17.50
27/02/2006,,89.51,93.69,,47.10,47.10,,17.50,17.50
06/03/2006,,89.37,93.63,,47.10,47.10,,17.50,17.50
13/03/2006,,89.55,93.85,,47.10,47.10,,17.50,17.50
20/03/2006,,90.19,94.42,,47.10,47.10,,17.50,17.50
27/03/2006,,91.16,94.95,,47.10,47.10,,17.50,17.50
03/04/2006,,91.78,95.64,,47.10,47.10,,17.50,17.50
10/04/2006,,92.77,96.40,,47.10,47.10,,17.50,17.50
18/04/2006,,94.23,97.64,,47.10,47.10,,17.50,17.50
24/04/2006,,95.35,98.50,,47.10,47.10,,17.50,17.50
01/05/2006,,96.13,98.90,,47.10,47.10,,17.50,17.50
08/05/2006,,96.46,98.90,,47.10,47.10,,17.50,17.50
15/05/2006,,96.39,98.74,,47.10,47.10,,17.50,17.50
22/05/2006,,96.10,98.50,,47.10,47.10,,17.50,17.50
29/05/2006,,95.36,97.69,,47.10,47.10,,17.50,17.50
05/06/2006,,95.24,97.55,,47.10,47.10,,17.50,17.50
12/06/2006,,95.49,97.75,,47.10,47.10,,17.50,17.50
19/06/2006,,95.44,97.77,,47.10,47.10,,17.50,17.50
26/06/2006,,94.97,97.36,,47.10,47.10,,17.50,17.50
03/07/2006,,95.27,97.60,,47.10,47.10,,17.50,17.50
10/07/2006,,95.69,97.99,,47.10,47.10,,17.50,17.50
17/07/2006,,96.88,98.74,,47.10,47.10,,17.50,17.50
24/07/2006,,97.78,99.41,,47.10,47.10,,17.50,17.50
31/07/2006,,97.83,99.41,,47.10,47.10,,17.50,17.50
07/08/2006,,98.05,99.57,,47.10,47.10,,17.50,17.50
14/08/2006,,97.82,99.45,,47.10,47.10,,17.50,17.50
21/08/2006,,95.74,97.93,,47.10,47.10,,17.50,17.50
28/08/2006,,94.40,96.67,,47.10,47.10,,17.50,17.50
04/09/2006,,92.88,95.92,,47.10,47.10,,17.50,17.50
11/09/2006,,91.48,95.34,,47.10,47.10,,17.50,17.50
18/09/2006,,89.78,94.95,,47.10,47.10,,17.50,17.50
25/09/2006,,88.20,93.51,,47.10,47.10,,17.50,17.50
02/10/2006,,86.95,92.13,,47.10,47.10,,17.50,17.50
09/10/2006,,86.60,91.74,,47.10,47.10,,17.50,17.50
16/10/2006,,85.91,91.59,,47.10,47.10,,17.50,17.50
23/10/2006,,85.74,91.22,,47.10,47.10,,17.50,17.50
30/10/2006,,85.60,91.17,,47.10,47.10,,17.50,17.50
06/11/2006,,85.54,91.12,,47.10,47.10,,17.50,17.50
13/11/2006,,85.49,91.15,,47.10,47.10,,17.50,17.50
20/11/2006,,85.45,91.17,,47.10,47.10,,17.50,17.50
27/11/2006,,85.47,91.17,,47.10,47.10,,17.50,17.50
04/12/2006,,85.46,91.50,,47.10,47.10,,17.50,17.50
11/12/2006,,87.44,92.96,,48.35,48.35,,17.50,17.50
18/12/2006,,87.70,93.26,,48.35,48.35,,17.50,17.50
25/12/2006,,87.90,93.41,,48.35,48.35,,17.50,17.50
01/01/2007,,87.85,93.40,,48.35,48.35,,17.50,17.50
08/01/2007,,87.66,93.11,,48.35,48.35,,17.50,17.50
15/01/2007,,87.10,91.55,,48.35,48.35,,17.50,17.50
22/01/2007,,86.28,90.45,,48.35,48.35,,17.50,17.50
29/01/2007,,85.66,89.70,,48.35,48.35,,17.50,17.50
05/02/2007,,85.62,89.63,,48.35,48.35,,17.50,17.50
12/02/2007,,86.12,90.11,,48.35,48.35,,17.50,17.50
19/02/2007,,86.60,90.55,,48.35,48.35,,17.50,17.50
26/02/2007,,87.07,91.02,,48.35,48.35,,17.50,17.50
05/03/2007,,87.74,91.59,,48.35,48.35,,17.50,17.50
12/03/2007,,88.48,92.17,,48.35,48.35,,17.50,17.50
19/03/2007,,88.93,92.61,,48.35,48.35,,17.50,17.50
26/03/2007,,89.32,92.91,,48.35,48.35,,17.50,17.50
02/04/2007,,90.47,93.90,,48.35,48.35,,17.50,17.50
10/04/2007,,91.18,94.33,,48.35,48.35,,17.50,17.50
16/04/2007,,91.99,94.86,,48.35,48.35,,17.50,17.50
23/04/2007,,92.93,95.39,,48.35,48.35,,17.50,17.50
30/04/2007,,93.45,95.71,,48.35,48.35,,17.50,17.50
07/05/2007,,94.43,96.12,,48.35,48.35,,17.50,17.50
14/05/2007,,95.07,96.47,,48.35,48.35,,17.50,17.50
21/05/2007,,95.71,96.69,,48.35,48.35,,17.50,17.50
28/05/2007,,96.16,96.99,,48.35,48.35,,17.50,17.50
04/06/2007,,96.51,97.19,,48.35,48.35,,17.50,17.50
11/06/2007,,96.61,97.20,,48.35,48.35,,17.50,17.50
18/06/2007,,96.56,97.11,,48.35,48.35,,17.50,17.50
25/06/2007,,96.54,97.12,,48.35,48.35,,17.50,17.50
02/07/2007,,96.36,96.89,,48.35,48.35,,17.50,17.50
09/07/2007,,96.20,96.78,,48.35,48.35,,17.50,17.50
16/07/2007,,96.21,96.79,,48.35,48.35,,17.50,17.50
23/07/2007,,96.23,96.83,,48.35,48.35,,17.50,17.50
30/07/2007,,96.20,96.77,,48.35,48.35,,17.50,17.50
06/08/2007,,96.15,96.72,,48.35,48.35,,17.50,17.50
13/08/2007,,96.00,96.70,,48.35,48.35,,17.50,17.50
20/08/2007,,95.31,96.59,,48.35,48.35,,17.50,17.50
27/08/2007,,95.00,96.37,,48.35,48.35,,17.50,17.50
03/09/2007,,94.80,96.37,,48.35,48.35,,17.50,17.50
10/09/2007,,94.63,96.34,,48.35,48.35,,17.50,17.50
17/09/2007,,94.65,96.45,,48.35,48.35,,17.50,17.50
24/09/2007,,94.91,96.90,,48.35,48.35,,17.50,17.50
01/10/2007,,96.39,98.51,,50.35,50.35,,17.50,17.50
08/10/2007,,97.14,99.10,,50.35,50.35,,17.50,17.50
15/10/2007,,97.19,99.18,,50.35,50.35,,17.50,17.50
22/10/2007,,97.81,99.89,,50.35,50.35,,17.50,17.50
29/10/2007,,98.26,100.69,,50.35,50.35,,17.50,17.50
05/11/2007,,99.36,102.16,,50.35,50.35,,17.50,17.50
12/11/2007,,100.74,104.17,,50.35,50.35,,17.50,17.50
19/11/2007,,101.47,105.28,,50.35,50.35,,17.50,17.50
26/11/2007,,102.13,106.25,,50.35,50.35,,17.50,17.50
03/12/2007,,102.58,107.19,,50.35,50.35,,17.50,17.50
10/12/2007,,102.67,107.47,,50.35,50.35,,17.50,17.50
17/12/2007,,102.60,107.56,,50.35,50.35,,17.50,17.50
24/12/2007,,102.53,107.50,,50.35,50.35,,17.50,17.50
31/12/2007,,102.66,107.61,,50.35,50.35,,17.50,17.50
07/01/2008,,103.37,108.29,,50.35,50.35,,17.50,17.50
14/01/2008,,103.82,108.77,,50.35,50.35,,17.50,17.50
21/01/2008,,104.22,109.09,,50.35,50.35,,17.50,17.50
28/01/2008,,104.22,109.11,,50.35,50.35,,17.50,17.50
04/02/2008,,104.03,108.99,,50.35,50.35,,17.50,17.50
11/02/2008,,103.67,108.86,,50.35,50.35,,17.50,17.50
18/02/2008,,103.70,108.99,,50.35,50.35,,17.50,17.50
25/02/2008,,104.65,110.21,,50.35,50.35,,17.50,17.50
03/03/2008,,105.24,110.90,,50.35,50.35,,17.50,17.50
10/03/2008,,105.96,112.23,,50.35,50.35,,17.50,17.50
17/03/2008,,106.41,113.08,,50.35,50.35,,17.50,17.50
24/03/2008,,106.90,114.40,,50.35,50.35,,17.50,17.50
31/03/2008,,107.10,114.79,,50.35,50.35,,17.50,17.50
07/04/2008,,107.24,115.47,,50.35,50.35,,17.50,17.50
14/04/2008,,107.61,116.51,,50.35,50.35,,17.50,17.50
21/04/2008,,108.57,118.06,,50.35,50.35,,17.50,17.50
28/04/2008,,109.50,119.10,,50.35,50.35,,17.50,17.50
05/05/2008,,110.30,120.37,,50.35,50.35,,17.50,17.50
12/05/2008,,111.04,121.49,,50.35,50.35,,17.50,17.50
19/05/2008,,112.96,124.50,,50.35,50.35,,17.50,17.50
26/05/2008,,114.79,127.21,,50.35,50.35,,17.50,17.50
02/06/2008,,116.03,128.82,,50.35,50.35,,17.50,17.50
09/06/2008,,116.86,129.68,,50.35,50.35,,17.50,17.50
16/06/2008,,117.69,130.66,,50.35,50.35,,17.50,17.50
23/06/2008,,118.44,131.45,,50.35,50.35,,17.50,17.50
30/06/2008,,118.84,132.03,,50.35,50.35,,17.50,17.50
07/07/2008,,119.28,132.55,,50.35,50.35,,17.50,17.50
14/07/2008,,119.44,132.87,,50.35,50.35,,17.50,17.50
21/07/2008,,119.40,132.89,,50.35,50.35,,17.50,17.50
28/07/2008,,116.91,130.71,,50.35,50.35,,17.50,17.50
04/08/2008,,115.06,128.19,,50.35,50.35,,17.50,17.50
11/08/2008,,113.92,126.20,,50.35,50.35,,17.50,17.50
18/08/2008,,112.22,124.10,,50.35,50.35,,17.50,17.50
25/08/2008,,112.02,123.74,,50.35,50.35,,17.50,17.50
01/09/2008,,112.20,123.89,,50.35,50.35,,17.50,17.50
08/09/2008,,112.55,124.20,,50.35,50.35,,17.50,17.50
15/09/2008,,112.51,124.14,,50.35,50.35,,17.50,17.50
22/09/2008,,110.81,122.61,,50.35,50.35,,17.50,17.50
29/09/2008,,109.85,121.65,,50.35,50.35,,17.50,17.50
06/10/2008,,109.45,121.14,,50.35,50.35,,17.50,17.50
13/10/2008,,107.04,118.42,,50.35,50.35,,17.50,17.50
20/10/2008,,102.66,114.31,,50.35,50.35,,17.50,17.50
27/10/2008,,98.62,111.01,,50.35,50.35,,17.50,17.50
03/11/2008,,97.40,109.87,,50.35,50.35,,17.50,17.50
10/11/2008,,95.89,109.13,,50.35,50.35,,17.50,17.50
17/11/2008,,94.83,108.73,,50.35,50.35,,17.50,17.50
24/11/2008,,92.79,107.78,,50.35,50.35,,17.50,17.50
01/12/2008,,91.47,106.56,,52.35,52.35,,15.00,15.00
08/12/2008,,90.16,104.87,,52.35,52.35,,15.00,15.00
15/12/2008,,89.07,101.24,,52.35,52.35,,15.00,15.00
22/12/2008,,88.01,99.94,,52.35,52.35,,15.00,15.00
29/12/2008,,87.34,99.17,,52.35,52.35,,15.00,15.00
05/01/2009,,85.42,97.57,,52.35,52.35,,15.00,15.00
12/01/2009,,86.02,98.32,,52.35,52.35,,15.00,15.00
19/01/2009,,86.19,98.45,,52.35,52.35,,15.00,15.00
26/01/2009,,87.42,99.39,,52.35,52.35,,15.00,15.00
02/02/2009,,88.16,99.82,,52.35,52.35,,15.00,15.00
09/02/2009,,89.28,100.31,,52.35,52.35,,15.00,15.00
16/02/2009,,90.12,100.86,,52.35,52.35,,15.00,15.00
23/02/2009,,90.33,100.81,,52.35,52.35,,15.00,15.00
02/03/2009,,90.28,100.64,,52.35,52.35,,15.00,15.00
09/03/2009,,90.15,100.03,,52.35,52.35,,15.00,15.00
16/03/2009,,90.16,100,,52.35,52.35,,15.00,15.00
23/03/2009,,90.16,99.52,,52.35,52.35,,15.00,15.00
30/03/2009,,91.35,99.98,,52.35,52.35,,15.00,15.00
06/04/2009,,93.72,102.14,,54.19,54.19,,15.00,15.00
13/04/2009,,94.11,102.44,,54.19,54.19,,15.00,15.00
20/04/2009,,94.62,102.71,,54.19,54.19,,15.00,15.00
27/04/2009,,95.13,102.83,,54.19,54.19,,15.00,15.00
04/05/2009,,95.60,102.80,,54.19,54.19,,15.00,15.00
11/05/2009,,96.59,103.10,,54.19,54.19,,15.00,15.00
18/05/2009,,97.54,103.37,,54.19,54.19,,15.00,15.00
25/05/2009,,98.90,103.55,,54.19,54.19,,15.00,15.00
01/06/2009,,99.39,103.55,,54.19,54.19,,15.00,15.00
08/06/2009,,100.59,103.78,,54.19,54.19,,15.00,15.00
15/06/2009,,101.98,104.50,,54.19,54.19,,15.00,15.00
22/06/2009,,102.81,104.92,,54.19,54.19,,15.00,15.00
29/06/2009,,103.30,105.05,,54.19,54.19,,15.00,15.00
06/07/2009,,103.57,105.11,,54.19,54.19,,15.00,15.00
13/07/2009,,102.78,104.04,,54.19,54.19,,15.00,15.00
20/07/2009,,102.22,102.99,,54.19,54.19,,15.00,15.00
27/07/2009,,102.17,102.91,,54.19,54.19,,15.00,15.00
03/08/2009,,102.36,103.20,,54.19,54.19,,15.00,15.00
10/08/2009,,103.01,103.79,,54.19,54.19,,15.00,15.00
17/08/2009,,103.96,104.45,,54.19,54.19,,15.00,15.00
24/08/2009,,104.70,105.11,,54.19,54.19,,15.00,15.00
31/08/2009,,105.11,105.50,,54.19,54.19,,15.00,15.00
07/09/2009,,106.85,107.30,,56.19,56.19,,15.00,15.00
14/09/2009,,106.43,107.09,,56.19,56.19,,15.00,15.00
21/09/2009,,105.96,106.79,,56.19,56.19,,15.00,15.00
28/09/2009,,105.44,106.39,,56.19,56.19,,15.00,15.00
05/10/2009,,104.87,105.85,,56.19,56.19,,15.00,15.00
12/10/2009,,104.71,105.69,,56.19,56.19,,15.00,15.00
19/10/2009,,105.08,106.28,,56.19,56.19,,15.00,15.00
26/10/2009,,106.76,107.78,,56.19,56.19,,15.00,15.00
02/11/2009,,107.43,108.51,,56.19,56.19,,15.00,15.00
09/11/2009,,108.10,109.35,,56.19,56.19,,15.00,15.00
16/11/2009,,108.48,109.65,,56.19,56.19,,15.00,15.00
23/11/2009,,108.73,109.87,,56.19,56.19,,15.00,15.00
30/11/2009,,108.79,109.99,,56.19,56.19,,15.00,15.00
07/12/2009,,108.64,109.87,,56.19,56.19,,15.00,15.00
14/12/2009,,108.50,109.57,,56.19,56.19,,15.00,15.00
21/12/2009,,107.47,109.13,,56.19,56.19,,15.00,15.00
28/12/2009,,107.44,109.17,,56.19,56.19,,15.00,15.00
04/01/2010,,109.34,111.08,,56.19,56.19,,17.50,17.50
11/01/2010,,110.72,112.59,,56.19,56.19,,17.50,17.50
18/01/2010,,111.60,113.39,,56.19,56.19,,17.50,17.50
25/01/2010,,111.87,113.71,,56.19,56.19,,17.50,17.50
01/02/2010,,111.91,113.75,,56.19,56.19,,17.50,17.50
08/02/2010,,111.95,113.79,,56.19,56.19,,17.50,17.50
15/02/2010,,111.89,113.68,,56.19,56.19,,17.50,17.50
22/02/2010,,111.56,112.76,,56.19,56.19,,17.50,17.50
01/03/2010,,112.42,113.41,,56.19,56.19,,17.50,17.50
08/03/2010,,113.71,114.68,,56.19,56.19,,17.50,17.50
15/03/2010,,115.46,116.21,,56.19,56.19,,17.50,17.50
22/03/2010,,116.59,117.28,,56.19,56.19,,17.50,17.50
29/03/2010,,117.28,118.21,,56.19,56.19,,17.50,17.50
05/04/2010,,119.29,120.09,,57.19,57.19,,17.50,17.50
12/04/2010,,119.94,121.11,,57.19,57.19,,17.50,17.50
19/04/2010,,120.55,121.74,,57.19,57.19,,17.50,17.50
26/04/2010,,120.99,122.31,,57.19,57.19,,17.50,17.50
03/05/2010,,121.18,122.68,,57.19,57.19,,17.50,17.50
10/05/2010,,121.31,122.82,,57.19,57.19,,17.50,17.50
17/05/2010,,121.30,122.83,,57.19,57.19,,17.50,17.50
24/05/2010,,119.93,121.92,,57.19,57.19,,17.50,17.50
31/05/2010,,118.54,120.76,,57.19,57.19,,17.50,17.50
07/06/2010,,118.20,120.40,,57.19,57.19,,17.50,17.50
14/06/2010,,117.87,120.21,,57.19,57.19,,17.50,17.50
21/06/2010,,117.80,120.39,,57.19,57.19,,17.50,17.50
28/06/2010,,117.88,120.38,,57.19,57.19,,17.50,17.50
05/07/2010,,117.91,120.44,,57.19,57.19,,17.50,17.50
12/07/2010,,117.39,119.78,,57.19,57.19,,17.50,17.50
19/07/2010,,116.85,119.24,,57.19,57.19,,17.50,17.50
26/07/2010,,116.61,119.03,,57.19,57.19,,17.50,17.50
02/08/2010,,116.51,119.03,,57.19,57.19,,17.50,17.50
09/08/2010,,116.35,118.94,,57.19,57.19,,17.50,17.50
16/08/2010,,116.34,118.79,,57.19,57.19,,17.50,17.50
23/08/2010,,115.64,117.90,,57.19,57.19,,17.50,17.50
30/08/2010,,114.98,117.37,,57.19,57.19,,17.50,17.50
06/09/2010,,114.59,117.09,,57.19,57.19,,17.50,17.50
13/09/2010,,114.66,117.17,,57.19,57.19,,17.50,17.50
20/09/2010,,115.06,117.72,,57.19,57.19,,17.50,17.50
27/09/2010,,115.39,118.11,,57.19,57.19,,17.50,17.50
04/10/2010,,116.01,118.97,,58.19,58.19,,17.50,17.50
11/10/2010,,116.78,119.77,,58.19,58.19,,17.50,17.50
18/10/2010,,117.28,120.60,,58.19,58.19,,17.50,17.50
25/10/2010,,117.74,121.17,,58.19,58.19,,17.50,17.50
01/11/2010,,118.18,121.66,,58.19,58.19,,17.50,17.50
08/11/2010,,118.67,122.19,,58.19,58.19,,17.50,17.50
15/11/2010,,118.80,122.51,,58.19,58.19,,17.50,17.50
22/11/2010,,118.99,122.74,,58.19,58.19,,17.50,17.50
29/11/2010,,119.21,123.20,,58.19,58.19,,17.50,17.50
06/12/2010,,120.54,124.62,,58.19,58.19,,17.50,17.50
13/12/2010,,121.68,125.77,,58.19,58.19,,17.50,17.50
20/12/2010,,122.31,126.52,,58.19,58.19,,17.50,17.50
27/12/2010,,123.44,127.68,,58.19,58.19,,17.50,17.50
03/01/2011,,124.85,129.11,,58.95,58.95,,17.50,17.50
10/01/2011,,127.40,131.60,,58.95,58.95,,20.00,20.00
17/01/2011,,127.87,132.33,,58.95,58.95,,20.00,20.00
24/01/2011,,128.35,133.00,,58.95,58.95,,20.00,20.00
31/01/2011,,128.55,133.25,,58.95,58.95,,20.00,20.00
07/02/2011,,128.64,133.47,,58.95,58.95,,20.00,20.00
14/02/2011,,128.73,133.71,,58.95,58.95,,20.00,20.00
21/02/2011,,128.92,134.04,,58.95,58.95,,20.00,20.00
28/02/2011,,129.72,135.06,,58.95,58.95,,20.00,20.00
07/03/2011,,131.28,136.90,,58.95,58.95,,20.00,20.00
